term5
"[17, 34, '40']","[16, 5, '6']","[19, 97, '111']",[0]
"[19, 120, '134']","[18, 62, '76']","[16, 21, '27']",[0]
"[17, 39, '45']","[18, 61, '75']","[19, 90, '104']",[0]
"[16, 24, '30']","[18, 79, '93']","[19, 94, '108']",[0]
"[19, 100, '114']","[18, 73, '87']","[17, 32, '38']",[0]
"[19, 110, '124']","[16, 12, '18']","[17, 47, '57']",[0]
"[17, 48, '58']","[16, 14, '20']","[19, 95, '109']",[0]
"[17, 31, '37']","[18, 59, '73']","[19, 119, '133']",[0]
"[17, 53, '63']","[18, 74, '88']","[19, 121, '135']",[0]
"[19, 105, '119']","[18, 80, '94']","[17, 27, '33']",[0]
"[19, 112, '126']","[18, 82, '96']","[17, 54, '64']",[0]
"[18, 69, '83']","[16, 9, '15']","[19, 98, '112']",[0]
"[19, 101, '115']","[16, 22, '28']","[17, 40, '46']",[0]
"[17, 55, '65']","[19, 96, '110']","[18, 76, '90']",[0]
"[17, 25, '31']","[19, 117, '131']","[18, 77, '91']",[0]
"[18, 75, '89']","[16, 23, '29']","[17, 57, '67']",[0]
"[15, 127, '141']","[17, 44, '54']","[19, 113, '127']",[0]
"[15, 131, '145']","[17, 46, '56']","[19, 126, '140']",[0]
"[15, 129, '143']","[16, 20, '26']","[18, 71, '85']",[0]
"[18, 84, '98']","[15, 130, '144']","[17, 37, '43']",[0]
"[17, 51, '61']","[15, 86, '100']","[19, 118, '132']",[0]
"[19, 115, '129']","[15, 85, '99']","[17, 52, '62']",[0]
"[19, 93, '107']","[15, 89, '103']","[18, 83, '97']",[0]
"[18, 81, '95']","[15, 87, '101']","[16, 6, '7']",[0]
"[15, 132, '146']","[16, 2, '3']","[18, 60, '74']",[0]
"[19, 108, '122']","[16, 19, '25']","[17, 50, '60']",[0]
"[17, 26, '32']","[18, 67, '81']","[19, 107, '121']",[0]
"[17, 33, '39']","[16, 3, '4']","[18, 66, '80']",[0]
"[19, 122, '136']","[16, 8, '9']","[17, 28, '34']",[0]
"[19, 109, '123']","[15, 128, '142']","[16, 16, '22']",[0]
"[19, 91, '105']","[16, 1, '2']","[18, 72, '86']",[0]
